Symbol,Company Name,Market Cap,Stock Price,Percent Change,Revenue
GHI,Greystone Housing Impact Investors LP,299.98M,12.88,1.02%,34.31M
OSUR,"OraSure Technologies, Inc.",299.87M,4.020,0.75%,224.26M
CDRO,"Codere Online Luxembourg, S.A.",299.33M,6.58,-0.30%,151.88M
TRUE,"TrueCar, Inc.",299.14M,3.440,-7.53%,170.68M
PDLB,"Ponce Financial Group, Inc.",298.49M,13.27,-0.97%,82.36M
HIT,"Health In Tech, Inc.",298.46M,5.52,-10.68%,19.80M
OB,Outbrain Inc.,298.39M,6.01,-1.48%,903.52M
ZH,Zhihu Inc.,297.83M,3.490,-0.57%,552.85M
VYGR,"Voyager Therapeutics, Inc.",297.71M,5.45,-2.85%,163.78M
ALDF,Aldel Financial II Inc.,297.49M,10.11,0.20%,-
EM,Smart Share Global Limited,296.92M,1.150,-,269.75M
POLE,Andretti Acquisition Corp. II,296.28M,10.08,0.10%,-
VCIC,Vine Hill Capital Investment Corp.,295.38M,10.19,1.19%,-
MPLN,MultiPlan Corporation,295.29M,18.26,-6.07%,942.61M
CBAN,"Colony Bankcorp, Inc.",295.21M,16.85,-0.35%,112.40M
CMPS,COMPASS Pathways plc,294.89M,4.310,3.36%,-
EHTH,"eHealth, Inc.",294.56M,9.94,-0.20%,464.89M
ILLR,Triller Group Inc.,294.49M,1.900,2.15%,45.24M
ONEW,OneWater Marine Inc.,294.12M,18.07,3.49%,1.78B
FLIC,The First of Long Island Corporation,293.74M,13.00,0.93%,84.93M
OBT,"Orange County Bancorp, Inc.",293.58M,25.87,-0.46%,98.02M
FREY,"FREYR Battery, Inc.",293.15M,1.880,0.53%,-
PBFS,"Pioneer Bancorp, Inc.",292.38M,11.58,-1.78%,79.73M
CZFS,"Citizens Financial Services, Inc.",291.48M,61.24,-2.28%,99.27M
GRAF,Graf Global Corp.,291.24M,10.13,0.10%,-
ELMD,"Electromed, Inc.",290.96M,34.40,-2.11%,57.06M
NEN,New England Realty Associates Limited Partnership,290.61M,83.00,-,81.17M
IBEX,IBEX Limited,290.59M,22.01,-0.36%,513.68M
LPAA,Launch One Acquisition Corp.,290.14M,10.09,-0.08%,-
ZVIA,Zevia PBC,289.87M,3.970,-8.31%,153.39M
HOND,HCM II Acquisition Corp.,289.80M,10.20,0.39%,-
