Symbol,Company Name,Market Cap,Stock Price,Percent Change,Revenue
VNOM,"Viper Energy, Inc.",9.99B,46.90,1.43%,794.41M
AIT,"Applied Industrial Technologies, Inc.",9.98B,260.03,-1.36%,4.48B
BRBR,"BellRing Brands, Inc.",9.98B,77.35,-2.57%,2.00B
HSIC,"Henry Schein, Inc.",9.97B,80.00,-0.04%,12.50B
DBX,"Dropbox, Inc.",9.96B,32.15,0.06%,2.54B
DOX,Amdocs Limited,9.95B,88.19,0.83%,5.00B
ALB,Albemarle Corporation,9.90B,84.19,-1.70%,6.50B
PNW,Pinnacle West Capital Corporation,9.89B,86.96,-0.20%,5.02B
TTEK,"Tetra Tech, Inc.",9.86B,36.80,0.63%,4.50B
MTSI,"MACOM Technology Solutions Holdings, Inc.",9.83B,132.25,1.06%,729.58M
AOS,A. O. Smith Corporation,9.76B,67.30,0.49%,3.82B
CR,Crane Company,9.75B,170.32,-0.77%,2.13B
WTRG,"Essential Utilities, Inc.",9.74B,35.48,0.06%,1.96B
CFLT,"Confluent, Inc.",9.73B,29.68,0.61%,915.61M
BSAC,Banco Santander-Chile,9.73B,20.41,0.10%,2.10B
LKQ,LKQ Corporation,9.72B,37.39,-2.22%,14.50B
PRI,"Primerica, Inc.",9.68B,290.17,-0.38%,3.14B
CIB,Bancolombia S.A.,9.68B,39.55,-0.73%,5.14B
QGEN,Qiagen N.V.,9.65B,44.64,0.29%,1.97B
CRS,Carpenter Technology Corporation,9.64B,193.06,-0.30%,2.88B
UWMC,UWM Holdings Corporation,9.64B,6.03,-5.04%,2.73B
MRNO,Murano Global Investments Plc,9.61B,10.68,2.79%,27.95M
WAL,Western Alliance Bancorporation,9.58B,87.87,-1.70%,3.02B
HQY,"HealthEquity, Inc.",9.57B,110.42,-0.14%,1.15B
PNFP,"Pinnacle Financial Partners, Inc.",9.55B,124.77,-0.92%,1.62B
CUBE,CubeSmart,9.48B,41.70,-0.64%,1.07B
EXEL,"Exelixis, Inc.",9.47B,33.15,0.67%,2.08B
AAON,"AAON, Inc.",9.46B,116.38,-0.19%,1.21B
WYNN,"Wynn Resorts, Limited",9.45B,86.85,-3.07%,7.13B
ALTR,Altair Engineering Inc.,9.40B,110.35,-0.14%,644.66M
WMS,"Advanced Drainage Systems, Inc.",9.37B,120.91,-2.87%,2.91B
PAC,"Grupo Aeroportuario del Pacífico, S.A.B. de C.V.",9.37B,185.35,-3.81%,1.29B
REXR,"Rexford Industrial Realty, Inc.",9.36B,40.66,-0.22%,903.94M
MASI,Masimo Corporation,9.33B,174.23,-4.11%,2.04B
RGEN,Repligen Corporation,9.31B,166.21,-0.79%,633.51M
KEP,Korea Electric Power Corporation,9.30B,7.25,-1.36%,70.35B
FRT,Federal Realty Investment Trust,9.30B,108.63,0.31%,1.19B
DRS,"Leonardo DRS, Inc.",9.29B,35.15,-0.45%,3.18B
PEGA,Pegasystems Inc.,9.29B,108.29,1.34%,1.48B
TTAN,"ServiceTitan, Inc.",9.24B,102.77,2.42%,724.36M
KNX,Knight-Swift Transportation Holdings Inc.,9.24B,57.09,-2.46%,7.41B
ORI,Old Republic International Corporation,9.21B,36.58,-0.84%,8.23B
MIDD,The Middleby Corporation,9.21B,171.14,-0.30%,3.87B
GLOB,Globant S.A.,9.20B,213.32,3.04%,2.35B
