Symbol,Company Name,Market Cap,Stock Price,Percent Change,Revenue
MTSR,"Metsera, Inc.",2.73B,26.50,47.22%,-
RZLV,Rezolve AI Limited,2.33B,2.500,-2.34%,-
CIFR,Cipher Mining Inc.,2.01B,5.73,21.91%,152.47M
FINV,FinVolution Group,1.99B,7.64,-2.80%,1.84B
PGNY,"Progyny, Inc.",1.97B,23.17,-1.57%,1.14B
CTRI,"Centuri Holdings, Inc.",1.97B,22.28,-1.72%,2.59B
HSAI,Hesai Group,1.97B,15.44,-3.50%,273.52M
HLMN,Hillman Solutions Corp.,1.97B,10.00,-1.28%,1.47B
AGIO,"Agios Pharmaceuticals, Inc.",1.96B,34.39,-0.43%,32.87M
HTH,Hilltop Holdings Inc.,1.96B,30.18,1.28%,1.19B
OFG,OFG Bancorp,1.96B,42.71,-1.52%,629.44M
LZB,La-Z-Boy Incorporated,1.96B,47.20,-1.71%,2.07B
CNXN,"PC Connection, Inc.",1.95B,74.22,1.39%,2.79B
ATRC,"AtriCure, Inc.",1.94B,39.87,-1.80%,447.57M
CRI,"Carter's, Inc.",1.94B,53.92,-1.62%,2.84B
TRMD,TORM plc,1.94B,19.93,0.35%,1.64B
BTE,Baytex Energy Corp.,1.94B,2.400,-4.00%,2.48B
JAMF,Jamf Holding Corp.,1.94B,15.11,-1.88%,615.07M
HG,"Hamilton Insurance Group, Ltd.",1.94B,19.13,-1.24%,2.27B
MQ,"Marqeta, Inc.",1.93B,3.850,-2.78%,490.03M
BWLP,BW LPG Limited,1.93B,12.67,-5.45%,3.60B
DAVA,Endava plc,1.93B,32.42,-0.18%,1.00B
CASH,"Pathward Financial, Inc.",1.92B,79.73,-0.88%,719.62M
VITL,"Vital Farms, Inc.",1.92B,43.88,-2.35%,576.13M
EDN,Empresa Distribuidora y Comercializadora Norte Sociedad Anónima,1.92B,39.08,-0.59%,972.77M
MBIN,Merchants Bancorp,1.92B,41.93,-1.46%,646.45M
ENLT,Enlight Renewable Energy Ltd,1.92B,15.88,0.25%,358.42M
INSW,"International Seaways, Inc.",1.92B,38.95,-0.10%,1.01B
DFIN,"Donnelley Financial Solutions, Inc.",1.92B,66.37,-1.07%,802.10M
CVI,"CVR Energy, Inc.",1.91B,18.95,-0.63%,7.87B
FL,"Foot Locker, Inc.",1.90B,20.05,-0.05%,8.12B
ULCC,"Frontier Group Holdings, Inc.",1.90B,8.43,-1.17%,3.66B
PRDO,Perdoceo Education Corporation,1.89B,28.78,0.45%,652.75M
LGF.A,Lions Gate Entertainment Corp.,1.89B,7.85,-1.01%,3.88B
GDYN,"Grid Dynamics Holdings, Inc.",1.88B,22.59,0.09%,328.36M
UTZ,"Utz Brands, Inc.",1.88B,13.36,-0.82%,1.42B
IRON,"Disc Medicine, Inc.",1.88B,55.80,0.36%,-
PSEC,Prospect Capital Corporation,1.88B,4.300,-0.46%,821.73M
SPT,"Sprout Social, Inc.",1.88B,32.67,-1.30%,392.40M
AAT,"American Assets Trust, Inc.",1.87B,24.28,-0.41%,452.50M
CDLR,Cadeler A/S,1.87B,20.91,-0.24%,201.00M
ROCK,"Gibraltar Industries, Inc.",1.86B,61.37,-1.68%,1.34B
KMT,Kennametal Inc.,1.86B,23.95,-1.16%,2.04B
VNET,"VNET Group, Inc.",1.86B,6.97,-6.82%,1.13B
EVCM,EverCommerce Inc.,1.86B,10.14,0.50%,693.21M
AGX,"Argan, Inc.",1.86B,136.80,-0.07%,806.26M
MSDL,Morgan Stanley Direct Lending Fund,1.85B,21.01,-0.19%,-
NPWR,NET Power Inc.,1.85B,8.59,-1.38%,250.00K
LOT,Lotus Technology Inc.,1.85B,2.730,-6.51%,1.01B
OI,"O-I Glass, Inc.",1.85B,11.94,0.51%,6.64B
GOGL,Golden Ocean Group Limited,1.84B,9.25,-0.11%,1.01B
FIHL,Fidelis Insurance Holdings Limited,1.84B,16.50,-1.61%,2.30B
BAK,Braskem S.A.,1.84B,4.640,-2.52%,13.76B
MNR,Mach Natural Resources LP,1.84B,17.80,-0.06%,873.77M
VSTS,Vestis Corporation,1.84B,13.98,-11.74%,2.77B
GLP,Global Partners LP,1.84B,54.18,-4.43%,17.39B
SIMO,Silicon Motion Technology Corporation,1.84B,54.61,1.94%,814.77M
NEO,"NeoGenomics, Inc.",1.84B,14.30,-3.38%,644.12M
GDRX,"GoodRx Holdings, Inc.",1.84B,4.770,-3.64%,790.39M
DRH,DiamondRock Hospitality Company,1.83B,8.78,-0.68%,1.11B
SEI,"Solaris Energy Infrastructure, Inc.",1.83B,27.29,-4.18%,280.14M
PRM,"Perimeter Solutions, Inc.",1.83B,12.50,-1.81%,534.19M
DHT,"DHT Holdings, Inc.",1.83B,11.32,-1.82%,583.76M
WULF,TeraWulf Inc.,1.83B,4.770,-4.79%,128.35M
SDGR,"Schrödinger, Inc.",1.83B,25.08,-1.40%,193.35M
PAX,Patria Investments Limited,1.83B,11.89,-1.41%,328.72M
FBNC,First Bancorp,1.82B,44.13,1.26%,333.72M
PL,Planet Labs PBC,1.82B,6.10,4.81%,241.65M
WMK,"Weis Markets, Inc.",1.82B,67.56,-0.62%,4.76B
ALGT,Allegiant Travel Company,1.82B,102.43,-1.57%,2.50B
TXG,"10x Genomics, Inc.",1.82B,15.00,-0.53%,629.74M
SBLK,Star Bulk Carriers Corp.,1.81B,15.37,-1.22%,1.22B
ASTH,"Astrana Health, Inc.",1.81B,36.87,0.14%,1.72B
STC,Stewart Information Services Corporation,1.81B,65.19,-0.43%,2.41B
REVG,"REV Group, Inc.",1.81B,34.70,0.58%,2.38B
NABL,"N-able, Inc.",1.80B,9.69,-1.62%,458.05M
TFIN,"Triumph Financial, Inc.",1.80B,77.06,-0.27%,397.10M
VYX,NCR Voyix Corporation,1.79B,12.29,-0.73%,3.59B
BLTE,"Belite Bio, Inc",1.79B,58.04,-2.62%,-
WWW,"Wolverine World Wide, Inc.",1.79B,22.33,-6.88%,1.79B
CUBI,"Customers Bancorp, Inc.",1.79B,56.98,-0.58%,641.39M
TALO,Talos Energy Inc.,1.79B,9.92,-1.00%,1.87B
IOVA,"Iovance Biotherapeutics, Inc.",1.78B,5.85,-5.80%,90.86M
UNFI,"United Natural Foods, Inc.",1.78B,29.74,-2.36%,31.30B
SVV,"Savers Value Village, Inc.",1.78B,11.14,-1.24%,1.52B
TVTX,"Travere Therapeutics, Inc.",1.78B,20.46,-2.80%,203.45M
PRG,"PROG Holdings, Inc.",1.78B,42.75,-1.22%,2.42B
SKWD,"Skyward Specialty Insurance Group, Inc.",1.78B,44.28,1.28%,1.09B
HIMX,"Himax Technologies, Inc.",1.77B,10.12,4.22%,897.26M
THS,"TreeHouse Foods, Inc.",1.77B,34.52,-1.57%,3.36B
WVE,Wave Life Sciences Ltd.,1.76B,11.57,-4.06%,53.61M
MSGE,Madison Square Garden Entertainment Corp.,1.76B,36.34,0.11%,955.77M
TDOC,"Teladoc Health, Inc.",1.75B,10.16,-1.74%,2.59B
EXPI,"eXp World Holdings, Inc.",1.75B,11.38,-1.04%,4.46B
BBUC,Brookfield Business Corporation,1.74B,23.87,0.72%,8.21B
SAND,Sandstorm Gold Ltd.,1.74B,5.85,-1.52%,173.38M
CHCO,City Holding Company,1.74B,118.13,0.11%,291.75M
ROG,Rogers Corporation,1.74B,93.05,-0.89%,842.50M
LKFN,Lakeland Financial Corporation,1.74B,68.04,-0.19%,236.77M
GERN,Geron Corporation,1.73B,2.870,-0.35%,29.48M
QBTS,D-Wave Quantum Inc.,1.73B,5.94,5.32%,9.42M
AG,First Majestic Silver Corp.,1.73B,5.70,-4.84%,525.21M
HPK,"HighPeak Energy, Inc.",1.73B,13.63,-2.50%,1.14B
ARHS,"Arhaus, Inc.",1.73B,12.28,-2.31%,1.27B
NIC,"Nicolet Bankshares, Inc.",1.72B,112.13,1.42%,346.48M
GPCR,Structure Therapeutics Inc.,1.72B,29.97,-1.15%,-
DVAX,Dynavax Technologies Corporation,1.72B,13.05,0.31%,260.81M
NTCT,"NetScout Systems, Inc.",1.71B,23.84,-4.87%,821.14M
IAS,Integral Ad Science Holding Corp.,1.71B,10.51,-,511.36M
CABO,"Cable One, Inc.",1.71B,304.01,0.36%,1.60B
GTY,Getty Realty Corp.,1.71B,31.01,-0.10%,198.02M
CENX,Century Aluminum Company,1.70B,18.28,0.55%,2.10B
PLUG,Plug Power Inc.,1.69B,1.860,-3.13%,659.51M
FCF,First Commonwealth Financial Corporation,1.69B,16.68,-0.12%,448.50M
NWBI,"Northwest Bancshares, Inc.",1.68B,13.21,1.62%,498.08M
AMPH,"Amphastar Pharmaceuticals, Inc.",1.68B,34.87,-4.12%,723.55M
ATEC,"Alphatec Holdings, Inc.",1.67B,11.79,0.34%,572.74M
